This work,,Brusa,,Tacconi_AGN,,Magnelli,,Tacconi_nonAGN,,Daddi,,Frayer,,Silverman,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.266633565044687,42.37587160604059,11.651936444885798,269.76943109728563,11.184210526315788,86.74743828011852,10.582423038728898,28.924048420970752,10.428997020854021,27.816976739790633,10.522840119165839,62.9551810152767,11.093346573982124,558.4359459647726,10.059582919563058,82.04338746745901
10.37090367428004,30.07517980420738,,,11.231876861966237,200.75364450586073,10.358987090367428,38.01046194847342,10.449851042701091,27.81697673979069,10.598808341608738,104.85306108555483,,,10.047666335650446,210.49634150520774
10.671797418073485,62.430888499752996,,,10.968222442899702,183.62107184682426,10.531777557100298,44.680812851315395,10.600297914597814,34.86365227678086,10.586891757696126,150.64894744719155,,,10.211519364448858,325.1670548947694
10.570506454816286,76.94821454682754,,,11.076961271102283,375.88979278224446,10.61966236345581,44.1853653522823,10.829692154915591,34.96097494121232,10.628599801390267,154.9075692543453,,,10.440913604766633,210.49634150520774
10.971201588877856,104.56117622548436,,,10.969712015888778,634.8387652182673,10.899702085402184,60.20894493336129,10.819265143992055,46.84919999251218,10.889275074478649,223.18668460122277,,,10.630089374379343,304.1241075156213
10.872889771598809,146.91637968561997,,,,,10.97269116186693,74.00301171759989,10.88033763654419,49.95134832124083,11.041211519364449,408.6769516409144,,,10.649453823237337,340.9476106989125
11.072492552135055,153.18986174477592,,,,,11.063555114200597,88.70373128293653,10.971201588877854,52.815365616445376,,,,,10.381330685203574,459.43873013329886
11.273584905660377,292.4837181035154,,,,,,,11.042701092353525,52.08432279416565,,,,,,
11.2720953326713,365.556066184284,,,,,,,10.92204568023833,62.779929439298726,,,,,,
11.167825223435948,746.2448653723023,,,,,,,11.002482621648461,70.97241582146056,,,,,,
,,,,,,,,10.843098311817279,59.04545052481253,,,,,,
,,,,,,,,10.642005958291955,55.07063660359837,,,,,,
,,,,,,,,10.58987090367428,55.07063660359837,,,,,,
,,,,,,,,10.722442899702084,60.714577641059606,,,,,,
,,,,,,,,10.782025819265144,77.59442308140535,,,,,,
,,,,,,,,10.722442899702084,82.04338746745901,,,,,,
,,,,,,,,10.75819265143992,80.0106317907657,,,,,,
,,,,,,,,10.819265143992055,85.5467253556568,,,,,,
,,,,,,,,10.722442899702084,93.5285733710144,,,,,,
,,,,,,,,10.643495531281033,87.23242909296907,,,,,,
,,,,,,,,10.479642502482621,59.8741980342123,,,,,,
,,,,,,,,11.111221449851042,88.21056039241898,,,,,,
,,,,,,,,11.111221449851042,113.0495310449226,,,,,,
,,,,,,,,11.281032770605758,163.7893706954063,,,,,,
,,,,,,,,11.383813306852037,159.7312280060254,,,,,,
,,,,,,,,11.042701092353525,137.40879396830326,,,,,,
,,,,,,,,11.079940417080437,145.287283251666,,,,,,
,,,,,,,,10.95183714001986,148.15017853308174,,,,,,
,,,,,,,,10.899702085402184,151.06948735055457,,,,,,
,,,,,,,,10.771598808341608,115.27717934112034,,,,,,
,,,,,,,,10.448361469712015,76.3073876550738,,,,,,
,,,,,,,,9.778053624627606,34.09476106989134,,,,,,
,,,,,,,,10.408142999006952,88.95134973108232,,,,,,
,,,,,,,,10.61072492552135,100.27915223470805,,,,,,
,,,,,,,,10.756703078450844,131.0489102995139,,,,,,
,,,,,,,,10.658391261171797,113.04953104492272,,,,,,
,,,,,,,,11.079940417080437,200.75364450586073,,,,,,
,,,,,,,,10.999503475670307,213.45081669693997,,,,,,
,,,,,,,,11.181231380337636,272.0349457654287,,,,,,
,,,,,,,,10.87140019860973,353.5298997741908,,,,,,
,,,,,,,,10.598808341608738,483.080347972985,,,,,,
,,,,,,,,10.479642502482621,247.43576264425,,,,,,
,,,,,,,,10.61072492552135,164.70509041698867,,,,,,
,,,,,,,,10.400695134061568,30.925360431013075,,,,,,
