Name	RA	Dec.	z	logMstar	logMstar_pe	logMstar_me	log(LIR,SF)	log(LIR,SF)_pe	log(LIR,SF)_me	SFR	SFR_pe	SFR_me	ΔMS	[Oiii]/Hβ	[Oiii]/Hβ_pe	[Oiii]/Hβ_me
J0945+1737	09:45:21.33		17:37:53.2	0.1281	10.1	0.09	0.12	45.3	0.02	0.02	73	4	4	36.1	1.015	0.005	0.005
J0958+1439	09:58:16.88		14:39:23.7	0.1091	10.74	0.09	0.12	44.6	0.2	0.3	15	8	8	2.4	1.124	0.005	0.005
J1000+1242	10:00:13.14		12:42:26.2	0.1479	9.9	0.3	0.7	45.0	0.1	0.2	40	1	10	24.8	0.988	0.008	0.008
J1010+1413	10:10:22.95		14:13:00.9	0.1992	11.0	0.1	0.1	45.1	0.2	0.4	50	3	30	3.7	1.1	0.005	0.005
J1010+0612	10:10:43.36		06:12:01.4	0.0982	10.5	0.3	0.9	44.99	0.04	0.04	35	3	3	8.7	0.828	0.005	0.005
J1100+0846	11:00:12.38		08:46:16.3	0.1004	10.7	0.3	2.4	45.0	0.1	0.1	34	9	9	6.2	1.098	0.005	0.005
J1316+1753	13:16:42.90		17:53:32.5	0.1504	11.0	0.2	0.3	45.1	0.2	0.3	40	2	20	4.3	1.082	0.005	0.005
J1356+1026	13:56:46.10		10:26:09.0	0.1233	10.64	0.09	0.11	45.36	0.02	0.02	84	4	4	15.3	0.982	0.004	0.004
J1430+1339	14:30:29.88		13:39:12.0	0.0852	10.86	0.05	0.06	44.32	0.06	0.07	8	1	1	1.0	0.883	0.004	0.004

