Galaxy	fμ	fμ_pe	fμ_me	logSFR	logSFR_pe	logSFR_me	logMstar	logMstar_pe	logMstar_me	log(Ltotd/L∗)	log(Ltotd/L∗)_pe	log(Ltotd/L∗)me	log(Md/M∗)	log(Md/M∗)_pe	log(Md/M∗)me	TBCW	TBCW_pe	TBCW_me	ξtotW	ξtotW_pe	ξtotW_me	TISMC	TISMC_pe	TISMC_me	ξtotC	ξtotC_pe	ξtotC_me
IRAS00199-7426	0.116	0.066	0.127	8.57	0.30	0.35	10.82	0.27	0.19	12.29	0.04	0.02	8.74	0.38	0.19	41	10	3	0.781	0.059	0.064	23	4	5	0.113	0.071	0.072
IRAS01494-1845	0.132	0.034	0.092	8.28	0.05	0.15	10.54	0.15	0.07	12.24	0.04	0.02	8.56	0.69	0.27	54	2	1	0.775	0.062	0.038	22	2	5	0.148	0.037	0.052
IRASZ02376-0054	0.096	0.653	0.107	8.93	0.30	0.95	10.98	0.31	0.12	12.45	0.02	0.02	8.62	0.03	0.04	55	3	11	0.831	0.102	0.617	18	4	3	0.121	0.346	0.085
IRAS04114-5117	0.047	0.071	0.004	8.02	0.10	0.15	10.39	0.48	0.33	12.22	0.01	0.01	8.56	0.02	0.30	50	2	0	0.893	0.000	0.035	21	5	0	0.072	0.035	0.000
IRAS06009-7716	0.088	0.069	0.082	8.18	0.00	0.40	10.18	0.10	0.01	12.00	0.02	0.01	8.05	0.25	0.21	55	1	3	0.784	0.056	0.037	25	3	5	0.089	0.041	0.038
IRASF08208+3211	0.112	0.091	0.099	8.53	0.20	0.25	10.90	0.22	0.16	12.44	0.04	0.07	8.64	0.28	0.20	58	1	1	0.831	0.078	0.065	21	5	2	0.128	0.049	0.071
IRASF10156+3705	0.104	0.165	0.133	9.02	0.80	0.60	11.49	0.59	0.69	12.58	0.05	0.08	8.43	0.20	0.24	54	2	3	0.861	0.088	0.035	28	1	7	0.078	0.051	0.065
IRAS10565+2448	0.154	0.075	0.106	8.83	0.40	0.20	10.63	0.36	0.26	11.97	0.01	0.00	8.13	0.25	0.04	55	1	1	0.652	0.074	0.010	26	0	3	0.205	0.007	0.048
IRAS12112+0305	0.048	0.000	0.017	7.98	0.00	0.00	10.34	0.00	0.00	12.33	0.00	0.00	8.28	0.00	0.00	48	0	0	0.868	0.000	0.000	27	0	0	0.078	0.000	0.000
IRAS13120-5453	0.206	0.000	0.155	8.33	0.00	0.00	10.49	0.00	0.01	12.21	0.00	0.01	8.88	0.00	0.00	52	1	0	0.672	0.065	0.000	22	0	1	0.247	0.000	0.062
IRAS16334+4630	0.110	0.025	0.073	8.47	0.20	0.35	10.92	0.23	0.21	12.43	0.01	0.02	8.41	0.28	0.05	57	2	1	0.804	0.033	0.001	26	1	4	0.123	0.016	0.028
IRAS17208-0014	0.099	0.006	0.057	9.26	0.50	0.35	11.13	0.12	0.14	12.25	0.03	0.02	8.53	0.19	0.11	52	2	0	0.849	0.000	0.027	23	2	2	0.103	0.020	0.001
IRAS19297-0406	0.090	0.010	0.044	8.82	0.15	0.10	11.19	0.03	0.14	12.37	0.01	0.02	8.44	0.20	0.14	54	0	2	0.786	0.042	0.000	25	3	3	0.138	0.009	0.042
IRAS19458+0944	0.082	0.099	0.092	8.43	0.20	0.50	10.66	0.35	0.21	12.19	0.03	0.03	8.21	0.74	0.23	53	1	1	0.851	0.041	0.081	23	4	6	0.066	0.098	0.038
IRAS20414-1651	0.061	0.033	0.031	8.34	0.25	0.35	10.42	0.35	0.13	12.20	0.02	0.02	8.31	0.72	0.44	52	1	1	0.886	0.004	0.029	23	7	6	0.075	0.021	0.006
IRAS22491-1808	0.059	0.053	0.058	8.40	0.45	0.05	10.62	0.07	0.38	12.12	0.04	0.02	7.91	0.17	0.10	58	1	1	0.882	0.040	0.049	27	3	5	0.077	0.047	0.047
